contig	start	end	SRG_name	SRG_start	SRG_end	SRG_length	SRG_sense
LCP05531_contig1	12187000	13088505	LCP05531_duf37231311	12841868	12843077	112	+
LCP05531_contig1	12187000	13088505	LCP05531_tyr1627	12897220	12898862	285	+
LCP05531_contig2	1	258000	LCP05531_duf37231316	158288	159906	133	+
LCP05531_contig2	1	258000	LCP05531_tyr1633	182073	183507	522	-
LCP05531_contig2	1	258000	LCP05531_tyr1629	252136	254647	1169	-
LCP05531_contig2	1577000	2257000	LCP05531_duf37231315	1835109	1836203	116	-
LCP05531_contig2	1577000	2257000	LCP05531_duf37231318	1836456	1836845	47	-
LCP05531_contig2	1577000	2257000	LCP05531_duf37231317	2162670	2165851	1070	+
LCP05531_contig2	2296000	2823000	LCP05531_myb478	2474943	2476662	1016	-
LCP05531_contig2	2296000	2823000	LCP05531_duf37231312	2527143	2528834	168	+
LCP05531_contig2	2296000	2823000	LCP05531_duf37231313	2734491	2736200	293	-
LCP05531_contig2	6187000	6559000	LCP05531_tyr1630	6188420	6193806	1716	+
LCP05531_contig2	6187000	6559000	LCP05531_tyr1631	6284605	6287995	1401	+
LCP05531_contig2	6187000	6559000	LCP05531_tyr1632	6313021	6315074	493	+
LCP05531_contig2	6187000	6559000	LCP05531_duf37231314	6375752	6378027	376	+
LCP05531_contig2	6187000	6559000	LCP05531_myb479	6469344	6470562	696	+
LCP05531_contig3	2388000	2715000	LCP05531_tyr1634	2388877	2391097	752	+
LCP05531_contig3	2388000	2715000	LCP05531_duf37231319	2481171	2481990	237	-
LCP05531_contig3	5673000	5727000	LCP05531_tyr1635	5722521	5725395	335	+
LCP05531_contig4	2950000	3178000	LCP05531_tyr1637	3037077	3039746	907	+
LCP05531_contig4	3500000	3605000	LCP05531_myb481	3556265	3556453	91	+
LCP05531_contig4	3500000	3605000	LCP05531_duf37231320	3566712	3569094	527	+
LCP05531_contig4	3500000	3605000	LCP05531_tyr1641	3602205	3604237	949	-
LCP05531_contig4	4060000	4230000	LCP05531_tyr1636	4075137	4076831	239	+
LCP05531_contig4	5863000	5966000	LCP05531_tyr1640	5867423	5870085	1008	+
LCP05531_contig4	5863000	5966000	LCP05531_duf37231321	5893546	5896410	1014	-
LCP05531_contig4	5863000	5966000	LCP05531_duf37231323	5896527	5897278	233	-
LCP05531_contig4	5863000	5966000	LCP05531_fre922	5901656	5903391	887	-
LCP05531_contig4	5863000	5966000	LCP05531_myb482	5962849	5964066	532	-
LCP05531_contig4	6076000	6186000	LCP05531_fre923	6126438	6128176	889	+
LCP05531_contig4	6076000	6186000	LCP05531_duf37231322	6133481	6136318	1015	+
LCP05531_contig4	6076000	6186000	LCP05531_tyr1639	6162542	6165069	1015	-
LCP05531_contig5	2210000	2327000	LCP05531_tyr1645	2211207	2213944	1294	-
LCP05531_contig5	2210000	2327000	LCP05531_tyr1642	2305634	2306548	452	+
LCP05531_contig5	2210000	2327000	LCP05531_tyr1643	2318177	2320372	1129	-
LCP05531_contig5	2490000	2616000	LCP05531_tyr1644	2510074	2511942	943	-
LCP05531_contig6	939000	982444	LCP05531_tyr1646	944599	946850	1287	+
LCP05531_contig6	939000	982444	LCP05531_duf37231324	967042	969550	783	+
LCP06093_contig1	1	460000	LCP06093_tyr1648	253961	257319	1089	-
LCP06093_contig1	1	460000	LCP06093_duf37231326	328939	329232	59	+
LCP06093_contig1	1	460000	LCP06093_tyr1649	437568	440285	883	+
LCP06093_contig1	1241000	1282000	LCP06093_tyr1647	1275527	1278038	1169	-
LCP06093_contig1	1554000	1664000	LCP06093_duf37231325	1591177	1592987	243	-
LCP06093_contig11	1	309000	LCP06093_duf37231339	185736	186516	248	-
LCP06093_contig11	1	309000	LCP06093_tyr1662	298527	302045	1513	-
LCP06093_contig12	671000	743000	LCP06093_tyr1663	678562	680643	695	+
LCP06093_contig12	671000	743000	LCP06093_duf37231340	681073	683249	1448	-
LCP06093_contig16	1	211304	LCP06093_tyr1665	145918	148577	505	-
LCP06093_contig16	1	211304	LCP06093_duf37231341	201279	203544	235	-
LCP06093_contig2	906000	982000	LCP06093_tyr1652	907668	910195	1015	+
LCP06093_contig2	906000	982000	LCP06093_duf37231328	936410	939247	1015	-
