sampleID	ESE00019_s00022	ESE00090_SLR20	ESE00090_SLR22	ESE00090_s00154	ESE00418_SLR27	ESE00418_s00613	ESE00418_s00620	ESE01435_s00969	ESE01521_s01016	LCP05531_SLR60	LCP05531_SLR75	LCP05531_s01799	LCP3239_s01654	cluster1	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster19	cluster2	cluster20	cluster21	cluster22	cluster23	cluster24	cluster25	cluster26	cluster27	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9
LCP5639	0.518000	0.817000	0.872000	0.585000	1.000000	0.677000	0.996000	0.234000	0.195000	0.997000	0.474000	0.333000	0.242000	0.955543	0.280500	0.942833	0.984167	0.996333	0.363600	0.974000	0.999750	0.252000	0.723667	0.118667	0.994419	0.999000	0.487000	0.178500	0.543000	0.774500	0.408500	0.101500	0.263500	0.327417	0.994400	0.816778	0.912500	0.924375	0.907571	0.874333
LCP584T	0.407000	0.780000	0.698000	0.509000	0.970000	0.704000	0.999000	0.500000	0.154000	0.998000	0.462000	0.278000	0.175000	0.990457	0.772000	0.655667	0.774000	0.990000	0.951600	0.656000	0.990750	0.276750	0.917333	0.092000	0.050452	0.390500	0.770000	0.178500	0.565000	1.000000	0.036500	0.105000	0.273000	0.256333	0.984900	0.812444	0.694625	0.805500	0.902857	0.760667
LCP6615	0.198000	0.877000	0.951000	1.000000	0.718000	0.089000	0.990000	0.351000	0.141000	0.685000	0.366000	0.137000	0.999000	0.164114	0.197833	0.363833	0.620667	0.302667	0.172400	0.740250	0.837500	0.960250	0.948333	0.098000	0.030290	0.214000	0.484000	0.110000	0.336500	0.807000	0.056500	0.163000	0.299500	0.971583	0.121500	0.341778	0.217125	0.153625	0.322143	0.368000
LCP6617	0.408000	0.990000	1.000000	0.618000	0.710000	0.107000	0.990000	0.116000	0.113000	0.683000	0.266000	0.325000	0.185000	0.228429	0.127000	0.429000	0.470333	0.283667	0.201800	0.405000	0.836250	0.173750	0.264000	0.009000	0.022387	0.207000	0.645500	0.980000	0.153000	0.810000	0.023500	0.167000	0.225000	0.040167	0.137000	0.134000	0.295875	0.220000	0.223286	0.495667
LCP6620	0.479000	0.808000	0.863000	0.588000	1.000000	0.677000	0.998000	0.444000	0.191000	1.000000	0.565000	0.325000	0.211000	0.957400	0.977667	0.795667	0.986333	1.000000	0.912200	0.965750	0.999250	0.199000	0.693333	0.116000	0.050484	0.389500	0.811000	0.173000	0.463000	0.757000	0.044000	0.144000	0.265000	0.311667	0.985000	0.819444	0.787375	0.994000	0.993714	0.869833
LCP6621	0.568000	0.878000	1.000000	1.000000	0.724000	0.149000	0.989000	0.381000	0.189000	0.697000	0.546000	0.386000	0.862000	0.254114	0.281667	0.540333	0.614000	0.408167	0.360400	0.772500	0.836500	0.958500	0.950000	0.097000	0.033903	0.298000	0.661000	0.977000	0.542000	0.806500	0.064000	1.000000	0.414000	0.969667	0.146300	0.370111	0.420875	0.233750	0.681286	0.672167
LCP6622	0.999000	0.785000	0.857000	0.528000	0.967000	0.697000	0.999000	0.303000	0.279000	0.998000	0.544000	0.364000	0.200000	0.958086	0.778000	0.667167	0.979667	0.997167	0.999200	0.856750	0.990750	0.299750	0.682667	0.100000	0.052452	0.396500	0.802000	0.178500	0.575000	1.000000	0.012000	0.103500	0.287000	0.274917	0.984200	0.812333	0.937625	0.901625	0.996286	0.783500
LCP6623	0.097000	1.000000	1.000000	0.602000	0.737000	0.103000	0.990000	0.280000	0.143000	0.689000	0.234000	0.112000	0.441000	0.233114	0.125833	0.411833	0.467167	0.354167	0.188000	0.355000	0.839750	0.039000	0.275667	0.039000	0.024935	0.502500	0.480500	0.985000	0.228500	0.807000	0.999000	0.090000	0.218500	0.041333	0.119200	0.128444	0.103000	0.191375	0.149571	0.310833
LCP6697	0.511000	1.000000	1.000000	1.000000	0.725000	0.188000	0.990000	0.393000	0.190000	0.701000	0.470000	0.336000	0.999000	0.250171	0.275167	0.537500	0.740833	0.412333	0.360600	0.699750	0.846750	0.962500	0.952000	0.074000	0.036677	0.299000	0.615000	0.985000	0.568500	0.807500	0.030000	0.113000	0.335500	0.957083	0.167800	0.484778	0.408625	0.300000	0.653714	0.571667
LCP6699	0.430000	0.795000	0.710000	0.534000	0.970000	0.695000	0.999000	0.306000	0.175000	1.000000	0.456000	0.292000	0.188000	0.990343	0.769000	0.656000	0.984667	0.996667	0.945600	0.836250	0.990500	0.288750	0.911000	0.096000	0.053419	0.393500	0.776000	0.179000	0.584000	1.000000	0.016000	0.096000	0.273500	0.281167	0.986100	0.813444	0.877500	0.917250	0.905857	0.767000
